OrderDetailID,OrderID,ProductID,Quantity,UnitPrice
301,201,103,2,75
302,201,105,1,40
303,202,101,2,850
304,202,105,3,40
305,203,101,2,850
306,203,106,1,650
307,203,102,1,120
308,204,106,1,650
309,204,103,2,75
310,205,106,3,650
311,205,101,3,850
312,205,102,1,120
313,206,106,1,650
314,206,105,3,40
315,207,103,2,75
316,208,106,3,650
317,208,103,2,75
318,208,102,2,120
319,209,102,3,120
320,210,105,2,40
321,210,104,1,130
322,210,106,1,650
323,211,101,1,850
324,212,101,3,850
325,212,104,2,130
326,212,105,3,40
327,213,106,3,650
328,213,101,2,850
329,213,103,1,75
330,214,101,3,850
331,214,103,1,75
332,215,105,1,40
333,215,106,2,650
334,215,102,1,120
335,216,103,1,75
336,216,104,2,130
337,216,101,2,850
338,217,101,1,850
339,217,106,3,650
340,217,104,1,130
341,218,102,1,120
342,218,103,3,75
343,218,104,3,130
344,219,106,2,650
345,219,103,3,75
346,220,101,2,850
347,221,102,3,120
348,221,101,3,850
349,221,105,1,40
350,222,101,1,850
351,222,105,2,40
352,223,105,1,40
353,223,106,2,650
354,223,104,2,130
355,224,104,2,130
356,224,103,2,75
357,224,106,3,650
358,225,104,3,130
359,226,102,3,120
360,227,103,2,75
361,228,101,1,850
362,228,106,1,650
363,228,105,1,40
364,229,104,1,130
365,230,103,2,75
366,230,104,2,130
367,231,102,2,120
368,232,103,3,75
369,232,101,2,850
370,232,105,3,40
371,233,101,3,850
372,233,102,1,120
373,233,106,3,650
374,234,102,3,120
375,234,105,1,40
376,234,101,2,850
377,235,102,1,120
378,235,103,2,75
379,236,103,1,75
380,236,101,2,850
381,237,105,1,40
382,238,101,2,850
383,238,102,2,120
384,239,106,3,650
385,239,105,3,40
386,239,101,2,850
387,240,101,3,850
388,241,105,3,40
389,241,102,2,120
390,242,104,1,130
391,242,103,3,75
392,242,101,2,850
393,243,102,1,120
394,243,103,3,75
395,244,101,3,850
396,244,106,1,650
397,244,105,3,40
398,245,102,2,120
399,245,101,2,850
400,246,102,3,120
401,246,101,2,850
402,246,103,3,75
403,247,104,1,130
404,248,106,1,650
405,248,102,3,120
406,248,103,1,75
407,249,102,2,120
408,250,101,3,850
409,251,101,2,850
410,251,103,3,75
411,252,101,2,850
412,253,101,3,850
413,254,105,1,40
414,254,106,2,650
415,255,106,2,650
416,256,104,3,130
417,256,101,2,850
418,257,103,3,75
419,257,105,2,40
420,257,106,2,650
421,258,102,3,120
422,258,106,2,650
423,258,104,3,130
424,259,105,2,40
425,259,101,2,850
426,260,104,3,130
427,260,106,1,650
428,261,101,1,850
429,261,103,1,75
430,261,105,3,40
431,262,101,1,850
432,263,104,1,130
433,263,105,3,40
434,264,102,3,120
435,265,102,3,120
436,266,102,1,120
437,266,101,2,850
438,266,104,3,130
439,267,105,2,40
440,267,106,3,650
441,268,103,3,75
442,268,102,2,120
443,269,104,3,130
444,269,101,2,850
445,270,105,1,40
446,270,101,1,850
447,271,102,2,120
448,271,101,2,850
449,271,104,3,130
450,272,104,2,130
451,273,104,2,130
452,273,106,2,650
453,273,101,2,850
454,274,102,2,120
455,274,103,2,75
456,275,106,2,650
457,275,104,1,130
458,275,102,3,120
459,276,105,3,40
460,276,101,2,850
461,276,106,1,650
462,277,104,1,130
463,277,103,2,75
464,278,104,1,130
465,278,103,2,75
466,279,102,3,120
467,279,101,1,850
468,280,105,1,40
469,281,101,2,850
470,281,105,3,40
471,281,102,2,120
472,282,103,1,75
473,283,106,3,650
474,283,104,1,130
475,283,105,1,40
476,284,106,2,650
477,285,105,3,40
478,285,104,2,130
479,286,104,2,130
480,287,104,1,130
481,287,102,3,120
482,287,106,3,650
483,288,104,2,130
484,288,105,2,40
485,289,102,3,120
486,289,104,3,130
487,290,103,2,75
488,290,102,1,120
489,291,105,3,40
490,291,103,1,75
491,292,106,2,650
492,293,104,1,130
493,293,106,1,650
494,293,105,2,40
495,294,106,2,650
496,294,105,2,40
497,295,106,2,650
498,295,105,2,40
499,296,102,3,120
500,296,101,1,850
501,297,102,3,120
502,298,102,2,120
503,299,101,1,850
504,299,105,2,40
505,300,102,1,120
506,300,104,3,130
507,300,101,2,850
